SONY,,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume,Days
2019-01-30,48.779999,49.259998,48.310001,49.200001,49.200001,922100,237
2019-01-31,50.040001,50.540001,49.689999,50.119999,50.119999,1583600,238
2019-02-01,50,50.040001,45.119999,46.150002,46.150002,6962800,239
2019-02-04,45.889999,46.419998,45.810001,46.290001,46.290001,1977200,240
2019-02-05,46.200001,46.220001,45.759998,45.860001,45.860001,1609500,241
2019-02-06,44.490002,44.669998,43.98,44.220001,44.220001,2822500,242
2019-02-07,42.93,43.150002,42.43,43.060001,43.060001,3049100,243
2019-02-08,44.400002,44.5,43.669998,44.290001,44.290001,2078500,244
2019-02-11,44.509998,44.709999,44.200001,44.59,44.59,2044900,245
2019-02-12,44.029999,44.490002,44.029999,44.279999,44.279999,1154100,246
2019-02-13,44.529999,45.34,44.48,45.060001,45.060001,1470200,247
2019-02-14,45,45.41,44.939999,45.119999,45.119999,730100,248
2019-02-15,45.549999,46.049999,45.52,45.790001,45.790001,1445400,249
2019-02-19,46.220001,46.490002,46.119999,46.220001,46.220001,1662900,250
2019-02-20,47.450001,47.5,46.650002,46.880001,46.880001,2226800,251
2019-02-21,47.849998,48.049999,47.439999,47.639999,47.639999,2215000,252
2019-02-22,47.900002,48.150002,47.779999,47.889999,47.889999,1189600,253
2019-02-25,48.549999,48.740002,48.389999,48.459999,48.459999,996800,254
2019-02-26,48.169998,48.360001,47.98,48.189999,48.189999,1305700,255
2019-02-27,48.360001,48.48,48.139999,48.43,48.43,866400,256
2019-02-28,48.209999,48.240002,47.919998,47.990002,47.990002,800900,257
2019-03-01,47.82,48.060001,47.689999,47.889999,47.889999,969000,258
2019-03-04,47.779999,47.869999,47.23,47.619999,47.619999,1230900,259
2019-03-05,47.75,47.900002,47.529999,47.66,47.66,638300,260
2019-03-06,47.68,47.810001,47.52,47.529999,47.529999,685400,261
2019-03-07,47,47,46.139999,46.400002,46.400002,1360200,262
2019-03-08,45.279999,46,45.189999,45.950001,45.950001,1074100,263
2019-03-11,45.299999,46.18,45.16,46.099998,46.099998,1555600,264
2019-03-12,46.220001,46.650002,46.16,46.310001,46.310001,1290200,265
2019-03-13,46.57,46.84,46.459999,46.66,46.66,920600,266
2019-03-14,46.23,46.240002,45.950001,46.119999,46.119999,778100,267
